#social|ソーシャルエンジニアリング|SOCIAL ENGINEERING|https://www.cisa.gov/secure-our-world/recognize-and-report-phishing|CISA：フィッシングの認識と報告
フィッシング|信頼できる組織を装い、偽の案内から認証情報などをだまし取る行為|メールのリンクを使わず正規アプリから通知を確認する|送信者の表示名が有名企業ならリンク先でログインする|不自然な催促は兆候の一つだが、文章が自然な偽メールもある|フィッシングメールには必ず誤字が含まれる|誤字の有無で真偽は確定できない。送信元と実際のリンク先、正規窓口を確認する|偽画面に入力した場合は正規経路で認証情報とセッションを保護する|偽画面を閉じれば入力済みのパスワードも回収できる
スピアフィッシング|特定の個人や組織を調べ、その相手向けに細工した詐欺メッセージ|実在する案件名が書かれていても依頼を別経路で確認する|上司の名前と案件名が一致すれば添付を信頼する|公開された職歴や投稿が誘導文の材料になることがある|自分宛てに具体的に書かれたメールなら詐欺ではない|標的に合わせた情報ほど説得力が高くなる。具体性は本人確認の代わりにならない|狙われた部署の関係者にも同種の連絡が来ていないか確認する|1人にしか届いていなければ組織への攻撃ではないと断定する
ビッシング|電話や音声通話でなりすまし、機密情報や操作を引き出す詐欺|いったん切り、既知の公式電話番号にかけ直す|着信に表示された番号だけで本人だと判断する|発信者番号の表示だけでは相手の正当性を保証できない|電話の相手が氏名を知っていれば本人確認は不要だ|氏名や所属は外部から入手できる。独立した窓口で依頼を確認する|認証コードを聞かれても渡さず社内窓口へ報告する|相手がサポート担当と名乗れば認証コードを読み上げる
スミッシング|SMSを使い、偽の配送・料金通知などで誘導する詐欺|配送状況は公式アプリや手入力した正規サイトで確認する|少額の再配達手数料ならSMSからカード情報を入力する|短いURLや緊急の料金請求は、別経路で確かめるきっかけになる|SMSは電話番号宛てなので送信者を偽装できない|SMSでもなりすましや不正な誘導は起こる。電話番号宛てであることは保証にならない|リンクを開いただけか、情報入力やアプリ導入までしたかを分けて確認する|SMSを削除したら、導入した不審アプリも自動で削除される
クイッシング|QRコードを入り口として偽サイトなどへ誘導するフィッシング|読み取った後に表示されるURLと設置状況を確認する|印刷されたQRコードは書き換えられないので無条件で使う|正規の掲示物に不正なQRシールを重ねる手口がある|QRコード自体がアクセス先の安全性を証明する|QRコードは情報の表現方式にすぎず、リンク先を認証する仕組みではない|支払い用QRが貼り替えられていないか店舗に確認する|QRの画像が鮮明なら正規の決済先と判断する
プリテキスティング|もっともらしい口実や役割を作り、情報提供や操作を誘う手法|依頼者の身元と業務上の必要性を別々に確認する|緊急の監査と名乗る相手には権限確認を省略する|技術的な侵入を使わず、人の判断を悪用する場合がある|社内用語を使う相手にはアクセス権限がある|用語を知っていることとアクセスを許可されていることは別である|手続きの例外を迫られたら定めた承認経路に戻す|例外と言われたら記録を残さず対応する
ベイティング|無料品や興味を引く物を餌に、不正な操作へ誘う手法|拾った記録媒体は接続せず管理担当へ渡す|中身を確かめるため業務PCに拾ったUSBを接続する|餌は物理媒体だけでなく偽のダウンロードにもなり得る|新品の見た目のUSBなら不正な仕掛けはない|外観から内部のプログラムや動作の安全性を判定することはできない|無料配布のソフトでも配布元と必要な権限を確認する|無料なのでソフトの配布元確認は不要とする
テールゲーティング|正規利用者の後について入り、入退室の認証をすり抜ける行為|来訪者は受付や同行手続きへ案内する|両手がふさがった知らない人を無確認で入室させる|親切心や混雑を利用して入室確認が省略されることがある|電子錠があれば共連れによる侵入は起こらない|電子錠は後に続く人の権限まで自動的に保証するとは限らない|不審な入室は安全を確保して警備担当へ知らせる|社員らしい服装なら入室記録との不一致を無視する
ショルダーサーフィン|画面や入力する手元をのぞき見し、情報を盗み取る行為|周囲への画面露出を減らし離席時にロックする|通信を暗号化していれば画面を人に見られても問題ない|パスワードだけでなく画面上の顧客情報も対象になる|のぞき見対策はネットワーク暗号化だけで完了する|通信の保護と画面の露出対策は別であり、どちらも状況に応じて必要になる|共有スペースでは画面の向きや周囲のカメラも確認する|背後に人がいなければ撮影の可能性はないと断定する
ディープフェイクによるなりすまし|合成された声や映像で特定の人物を装い、判断を誤らせる手口|送金や権限変更は登録済みの別経路で確認する|会議で本人そっくりの声が聞こえたら例外承認する|声や顔の見た目だけに本人確認を依存させると危険である|リアルタイム映像なら偽造された可能性はない|音声や映像にも合成や中継の可能性がある。重要な依頼は独立して確認する|普段と違う急ぎの指示は承認手順を守って照合する|高画質の映像だったことを送金承認の唯一の証拠にする
#identity|パスワードと本人確認|IDENTITY GATE|https://pages.nist.gov/800-63-4/sp800-63b.html|NIST：認証と認証器の管理
多要素認証|知識・所持・生体など異なる種類の要素を組み合わせる本人確認|異なる要素を用い、回復経路も保護する|パスワードと同じパスワードの再入力を二要素と呼ぶ|2つの秘密の質問は通常どちらも知識要素である|パスワードを2回入力すれば多要素認証になる|要素の回数ではなく種類が重要。知識要素を繰り返しても所持や生体の要素にはならない|認証器を紛失した時の回復手続きを事前に確認する|MFAを有効にした後は回復コードを公開場所に保存する
パスキー|サービスに結び付いた公開鍵認証を使う、パスワードに代わる認証資格情報|対応するサービスで設定し端末とアカウント回復も保護する|秘密鍵の文字列をメールで全員に共有する|サービスに結び付けて認証する性質がフィッシング対策に役立つ|パスキーなら端末を奪われてもあらゆる攻撃を防げる|フィッシング耐性があっても端末や回復経路の保護は必要で、万能ではない|同期型か端末に固定される型かを運用要件と照らし合わせる|どのパスキーも必ず1台の端末から持ち出せないと決めつける
